Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10 uF,
"C10, C11, C12, C5, C6, C8, C9",0402,7,4700 pF,
C2,0402,1,1uF,
C4,0402,1,0.1 uF,
C7,0402,1,0.1nF,
D1,D_MicroMELF,1,D_Schottky,
D2,TVS DIOM5226X230N,1,TVS SMAJ3.3A-TP,
D3,0603,1,LED,
FB1,Bead0603 BEADC1608X100N,1,Bead MG1608-152Y,
IC1,Switch_1p6t_PE42462_QFN50P400X400X90-25N-D,1,Switch_PE42462A-X,
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
Q1,SOT-23,1,Q_PMOS_GSD,
"R1, R2, R3",0402,3,4.7K,
"R4, R5",0402,2,10 kohm,
"SMA3, SMA4, SMA5, SMA6, SMA7, SMA8, SMA9",SMA_KHD_Back,7,~,
U4,Outline_4x3_cavity_1.5mm,1,~,
